location,lat,lon
"Boston, MA",42.3555076,-71.0565364
"Hampton, VA",37.0298687,-76.34522179999999
Maryland,39.0457549,-76.64127119999999
Virginia,37.4315734,-78.6568942
"Cambridge, MA",42.3666036,-71.1056916
West Africa,13.531665,-2.4604145
Nigeria,9.081999,8.675277
"Gloucester, VA",37.4098631,-76.52661739999999
Brazil,-14.235004,-51.92528
Massachusetts,42.4072107,-71.3824374
"Southampton County, VA",36.6788512,-77.10249019999999
Oregon,43.8041334,-120.5542012
"Boykins, VA",36.583207,-77.1999675
Barbados,13.193887,-59.543198
"Port Chester, NY",41.0017643,-73.66568339999999
"Chickamauga, GA",34.8711879,-85.2907896
New Jersey,40.0583238,-74.4056612
"Greater Boston Area, MA",42.3600709,-71.0588305
"Selma, AL",32.4073589,-87.02110069999999
"Dallas County, AL",32.2332138,-87.14228949999999
North Carolina,35.7595731,-79.01929969999999
"Greater Boston, MA",42.3600709,-71.0588305
"Charles River, Cambridge MA",42.3666036,-71.1056916
"Arlington, MA",42.4153925,-71.1564729
"Howard St Cambridge, MA",42.3653111,-71.1108597
"Callender St Cambridge, MA",42.3653682,-71.112265
"New Haven, CT",41.308274,-72.9278835
Minnesota,46.729553,-94.6858998
West Virginia,38.5976262,-80.4549026
"Baltimore, MD",39.2905023,-76.6104072
New Hampshire,43.1938516,-71.5723953
"Magee St Cambridge, MA",42.3663178,-71.112407
"Central Square Cambridge, MA",42.3650455,-71.1025628
"Columbia St Cambridge, MA",42.3688348,-71.0968172
Caribbean,21.4691137,-78.6568942
Connecticut,41.6032207,-73.087749
"Somerville, MA",42.3875968,-71.0994968
"Belmont, MA",42.3956405,-71.1776114
"South Boston, MA",42.3354829,-71.0456735
New York,40.7127753,-74.0059728
Louisiana,30.5190775,-91.5208624
"Chicago, IL",41.88325,-87.6323879
Kansas,39.011902,-98.4842465
"Concord Ave Cambridge, MA",42.3858188,-71.1385347
"Huron Ave Cambridge, MA",42.3805937,-71.1418095
"Concord, MA",42.4603719,-71.3489484
Ohio,40.4172871,-82.90712300000001
Ghana,7.946527,-1.023194
England,52.83816401015793,-2.327480843616569
Africa,-8.783195,34.508523
Ethiopia,9.145000000000001,40.489673
"Awash River, Ethiopia",9.627178947550629,40.03977088398194
Kenya,-0.023559,37.906193
Uganda,1.373333,32.290275
Europe,54.5259614,15.2551187
North America,54.5259614,-105.2551187
Mexico,23.634501,-102.552784
Vermont,44.5588028,-72.57784149999999
United States,38.7945952,-106.5348379
"Harvard Square Cambridge, MA",42.373465,-71.1189467
"South Shore, MA",42.4072107,-71.3824374
"Linnaean St Cambridge, MA",42.3836764,-71.1232015
"Agassiz St Cambridge, MA",42.3850263,-71.1217128
"Porter Square Cambridge, MA",42.3913695,-71.1232582
"Jacksonville, FL",30.3297566,-81.6591529
Caribbean Islands,21.4691137,-78.6568942
"Southampton, VA",36.6788512,-77.10249019999999
Morocco,31.791702,-7.092619999999999
Egypt,26.820553,30.802498
Sudan,12.862807,30.217636
Congo,-4.038333,21.758664
"Brookline, MA",42.33176419999999,-71.1211635
"Chelsea, MA",42.3917638,-71.0328284
"East Boston, MA",42.3800079,-71.0254241
Cape Verde,16.5388,-23.0418
Rhode Island,41.5800945,-71.4774291
"New Bedford, MA",41.6340613,-70.92766569999999
"Western Ave Cambridge, MA",42.3649851,-71.108015
"Hews Street Cambridge, MA",42.3646816,-71.1130912
"Brockton, MA",42.0834335,-71.0183787
"Putnam Ave Cambridge, MA",42.3631217,-71.1136803
"Revere Beach Revere, MA",42.4255431,-70.98146270000001
"North Reading, MA",42.5750939,-71.0786653
"Winchester, MA",42.452303,-71.1369959
Guyana,4.860416,-58.93018
"Brookline St Cambridge, MA",42.359235,-71.10607
"New York, NY",40.7127753,-74.0059728
"West Cambridge, MA",42.37681569999999,-71.13730029999999
"Corcoran Park Cambridge, MA",42.3763832,-71.15363339999999
"Crane Beach Ipswich, MA",42.6854607,-70.75624669999999
"Gloucester, MA",42.62453199999999,-70.660782
"Randolph, MA",42.1626042,-71.0413284
"East Cambridge, MA",42.3686043,-71.07739389999999
"Medford, MA",42.4184296,-71.1061639
"Hoyt Field Cambridge, MA",42.36385,-71.11224349999999
"Nantasket Beach Hull, MA",42.2917663,-70.87449
"Salem Willows Salem, MA",42.535172,-70.870159
"Dover, NH",43.1978624,-70.8736698
"Durham, NH",43.1339545,-70.9264393
"Watertown, MA",42.3709299,-71.1828321
"Atlanta, GA",33.7501275,-84.3885209
"Philadelphia, PA",39.9525839,-75.1652215
